set_code_name,format,date,wins,losses,ties,colors,splash,platform,link
KTK,Draft,4/1/15,3,0,0,WBR,,paper,https://photos.google.com/photo/AF1QipPxXtmzR5kiZXaxs4vB9cZXdb2PxV_rSXgBIf5r
FRF,Draft,29/3/15,2,1,0,WR,,paper,https://photos.google.com/photo/AF1QipPhsXMg3xmZzD3rR-LoNaBLeU3bL5ElzF9mkRoP
DTK,Draft,13/4/15,3,0,0,WG,,paper,https://www.tumblr.com/obsidiantide/116296894033/i-drafted-this-baby-last-week-at-a-draft-that?source=share
DTK,Draft,10/5/15,3,0,0,BR,,paper,https://photos.google.com/photo/AF1QipPlIJDx-sMuN4JBmfU5j-dbqoy612xwTyoBPFDX
ORI,Draft,23/6/15,2,1,0,WB,,paper,https://www.tumblr.com/obsidiantide/124831491233/ok-i-decided-ill-upload-all-my-draft-decks-here?source=share
ORI,Draft,19/7/15,3,0,0,WU,,paper,https://photos.google.com/photo/AF1QipO2VbULqJEiKqO-JJQni1WQPm4aa_iJDKicoqOQ
MM2,Draft,25/7/15,2,1,0,WR,,paper,https://www.tumblr.com/obsidiantide/124993778378/drafted-this-at-mm2-ghost-draft-just-now-was-ok?source=share
ORI,Draft,31/7/15,1,2,0,WR,,paper,https://www.tumblr.com/obsidiantide/125526503328/ok-so-i-just-drafted-this-at-an-fnm-in-barcelona?source=share
ORI,Draft,11/8/15,3,0,0,UR,,paper,https://www.tumblr.com/obsidiantide/126422976103/took-me-a-while-to-upload-this-because-the-tumblr?source=share
ORI,Draft,16/8/15,3,0,0,BR,W,paper,https://www.tumblr.com/obsidiantide/126810865443/from-a-draft-at-a-friends-house-yesterday-the?source=share
ORI,Draft,17/8/15,3,0,0,B,,paper,https://www.tumblr.com/obsidiantide/126893839528/fresh-from-yesterday-my-first-monocolor-draft?source=share
ORI,Draft,24/8/15,3,0,0,UR,,paper,https://www.tumblr.com/obsidiantide/127463269523/this-was-far-from-perfect-but-boy-this-was-fun?source=share
ORI,Draft,7/9/15,3,0,0,UR,,paper,https://www.tumblr.com/obsidiantide/128536436453/im-not-addicted-i-can-stop-anytime-i-want?source=share
ORI,Draft,16/9/15,3,0,0,WR,,paper,https://www.tumblr.com/obsidiantide/129201231023/drafted-this-baby-last-sunday-right-before-rosh?source=share
ORI,Draft,17/9/15,3,0,0,RG,,paper,https://www.tumblr.com/obsidiantide/129270408513/a-tad-later-than-promised-but-heres-my-deck-from?source=share
ORI,Draft,22/9/15,2,1,0,BG,,paper,https://www.tumblr.com/obsidiantide/129652037423/ok-im-pretty-sure-this-is-the-worst-deck-i?source=share
BFZ,Sealed,26/9/15,3,2,0,BG,,paper,https://www.tumblr.com/obsidiantide/129968387498/my-deck-from-the-prerelease-went-3-2-in-my?source=share
BFZ,Draft,27/9/15,2,1,0,UG,,paper,https://www.tumblr.com/obsidiantide/129999691388/first-bfz-draft-i-started-with-off-with-the-p1p1?source=share
BFZ,Two-Headed Giant,1/10/15,4,0,0,UR,,paper,https://www.tumblr.com/obsidiantide/130258702553/if-anyone-wonders-how-you-win-a-game-on-turn-5-in?source=share
BFZ,Draft,6/10/15,0,3,0,UG,,paper,https://www.tumblr.com/obsidiantide/130607147653/this-draft-was-stupid-with-the-lack-of-better?source=share
BFZ,Draft,12/10/15,1,2,0,BR,U,paper,https://www.tumblr.com/obsidiantide/131013020298/upside-down-draft-time-flipping-the-picture?source=share
BFZ,Draft,27/10/15,2,1,0,WR,,paper,https://www.tumblr.com/obsidiantide/132013981868/so-i-finally-managed-to-get-a-not-miserable-draft?source=share
BFZ,Draft,8/11/15,2,1,0,WB,U,paper,https://www.tumblr.com/obsidiantide/132787246988/sorry-for-the-delay-heres-my-draft-from-last?source=share
BFZ,Draft,9/11/15,2,1,0,WU,R,paper,https://www.tumblr.com/obsidiantide/132866684713/presenting-from-last-night-as-of-last-week?source=share
BFZ,Draft,17/11/15,2,1,0,UR,,paper,https://www.tumblr.com/obsidiantide/133404164853/sideways-draft-time-this-sunday-was-a-blast-i?source=share
BFZ,Draft,23/11/15,2,1,0,UG,,paper,https://www.tumblr.com/obsidiantide/133787124318/since-i-couldnt-draft-this-sunday-i-arranged-a?source=share
BFZ,Draft,30/11/15,2,1,0,RG,,paper,https://www.tumblr.com/obsidiantide/134254622803/deck-from-yesterdays-draft-as-usual-for-this?source=share
BFZ,Draft,9/12/15,3,0,0,UB,,paper,https://www.tumblr.com/obsidiantide/134856244073/this-strange-brew-won-my-draft-last-sunday?source=share
BFZ,Draft,16/12/15,1,2,0,WR,,paper,https://www.tumblr.com/obsidiantide/135316047928/so-this-draft-wasnt-very-good-finished-1-2-i?source=share
BFZ,Draft,23/12/15,2,1,0,RG,U,paper,https://www.tumblr.com/obsidiantide/135769207778/now-this-was-fun-the-blur-splash-worked-very?source=share
